 Rank  Player  Age  Elo  HardRaw  ClayRaw  GrassRaw  hElo  cElo  gElo  Peak Match  Peak Age  Peak Elo  
 111  Aleksandar Vukic  27.7  1671.3  1604.5  1531.5  1408.8  1637.9  1601.4  1540.0  2023 Oeiras 4 CH SF  27.0  1742.2  
 112  Benjamin Bonzi  27.6  1671.2  1592.3  1553.5  1524.1  1631.7  1612.3  1597.6  2022 Mallorca QF  26.0  1816.7  
 113  Alex Molcan  26.1  1670.3  1589.5  1651.0  1483.9  1629.9  1660.7  1577.1  2022 Hamburg R16  24.6  1848.6  
 114  Gabriel Diallo  22.3  1670.0  1582.1  1338.7  1436.6  1626.1  1504.3  1553.3  2024 Australian Open Qual  22.3  1696.4  
 115  Max Purcell  25.7  1669.2  1606.0  1360.4  1496.3  1637.6  1514.8  1582.8  2023 Winston-Salem R16  25.3  1783.0  
 116  Alexandre Muller  26.9  1667.1  1584.6  1559.0  1327.5  1625.8  1613.1  1497.3  2023 Wimbledon R128  26.4  1708.7  
 117  Terence Atmane  22.0  1666.7  1585.2  1397.4  -  1625.9  1532.0  1533.3  2023 Shanghai R128  21.7  1701.3  
 118  James Duckworth  31.9  1664.8  1605.3  1358.6  1489.2  1635.0  1511.7  1577.0  2021 Paris R16  29.7  1771.6  
 119  Albert Ramos  35.9  1664.5  1499.8  1647.6  1268.5  1582.1  1656.0  1466.5  2017 Barcelona R16  29.2  1872.7  
 120  Mariano Navone  22.8  1662.3  1130.1  1670.5  1353.5  1396.2  1666.4  1507.9  2023 Lima CH SF  22.6  1739.6  
 121  Bernabe Zapata Miralles  27.0  1661.7  1410.1  1734.3  1440.7  1535.9  1698.0  1551.2  2023 Geneva R32  26.3  1783.8  
 122  Michael Mmoh  26.0  1661.5  1586.6  1444.6  1430.7  1624.0  1553.0  1546.1  2017 San Francisco CH QF  19.0  1749.1  
 123  Lucas Pouille  29.8  1659.3  1618.7  1555.4  1529.9  1639.0  1607.3  1594.6  2017 Halle R32  23.3  1977.3  
 124  Giulio Zeppieri  22.1  1659.2  1572.7  1612.3  1392.7  1616.0  1635.7  1526.0  2022 Umag QF  20.6  1699.1  
 125  Arthur Rinderknech  28.4  1656.8  1562.2  1675.0  1402.2  1609.5  1665.9  1529.5  2022 Basel R16  27.2  1861.8  
 126  Harold Mayot  21.9  1653.8  1574.7  1423.9  1570.9  1614.3  1538.9  1612.4  2024 Quimper CH R16  21.9  1674.1  
 127  Jesper De Jong  23.6  1652.2  1581.7  1521.8  1349.3  1616.9  1587.0  1500.8  2022 Traralgon CH QF  21.5  1671.9  
